RIDM ID,856$z,856$x
410003508,Digitalisat ist Teil des Projekts Digital Music Unica in Switzerland (D-MUS),IIIF manifest (digitized source)
410004478,Digitalisat ist Teil des Projekts Digital Music Unica in Switzerland (D-MUS),IIIF manifest (digitized source)
990033843,Digitalisat ist Teil des Projekts Disjecta membra,IIIF manifest (digitized source)
410001101,Digitalisat ist Teil des Projekts Digital Music Unica in Switzerland (D-MUS),IIIF manifest (digitized source)
410001106,Digitalisat ist Teil des Projekts Digital Music Unica in Switzerland (D-MUS),IIIF manifest (digitized source)
410001284,Digitalisat ist Teil des Projekts Digital Music Unica in Switzerland (D-MUS),IIIF manifest (digitized source)
410001560,Digitalisat ist Teil des Projekts Digital Music Unica in Switzerland (D-MUS),IIIF manifest (digitized source)
990022492,Digitalisat ist Teil des Projekts Disjecta membra,IIIF manifest (digitized source)
990027337,Digitalisat ist Teil des Projekts Disjecta membra,IIIF manifest (digitized source)
992004615,Digitalisat ist Teil des Projekts Digital Music Unica in Switzerland (D-MUS),IIIF manifest (digitized source)
990027232,Digitalisat ist Teil des Projekts Digital Music Unica in Switzerland (D-MUS),IIIF manifest (digitized source)
