50000952,4,"Deux petits Savoyards, Les",Les Deux petits Savoyards,1,
50000954,4,"Schwarze Schloß, Das",Das Schwarze Schloß,1,
50000955,4,"Burg von Montenero, Die",Die Burg von Montenero,,
50000956,3,"Château de Monténéro, Le",Le Château de Monténéro,1,
50000958,3,"Suite des trois fermiers, La",La Suite des trois fermiers,1,
50000959,3,"Combattimento dell'umane passioni, Il",Il Combattimento dell'umane passioni,1,
50000960,4,"Betrug durch Aberglauben, Der",Der Betrug durch Aberglauben,,
50000961,4,"Schatzgräber, Die",Die Schatzgräber,,
50000962,3,"Feudataria, La",La Feudataria,1,
50000963,3,"Feudatario, Il",Il Feudatario,1,
50000965,4,"Auferstehung, Die",Die Auferstehung,,
50000972,3,"Locanda, La",La Locanda,1,
50000979,4,"Ehre Gottes aus der Natur, Die",Die Ehre Gottes aus der Natur,,
50000982,4,"Zurückkunft des verlorenen Sohns, Die",Die Zurückkunft des verlorenen Sohns,,
50000983,4,"Verlorene Sohn, Der",Der Verlorene Sohn,1,
50000984,4,"Sündflut, Die",Die Sündflut,,
50000985,3,"Sposa fedele, La",La Sposa fedele,1,
50000987,4,"Morgen, Der",Der Morgen,,
50000989,3,"Passione di Gesù Cristo, La",La Passione di Gesù Cristo,1,
50000994,3,"Matin, Le",Le Matin,1,
50000995,3,"Matina, La",La Matina,1,
50000999,2,"Impériale, L'",L'Impériale,1,
50001001,3,"Laudon, La",La Laudon,1,
50001002,3,"Chasse, La",La Chasse,1,
50001004,3,"Poule, La",La Poule,1,
50001006,2,"Ours, L'",L'Ours,1,
50001009,3,"Reine, La",La Reine,1,
50001011,4,"Miracle, The",The Miracle,1,
50001015,3,"Ritorno di Tobia, Il",Il Ritorno di Tobia,1,
50001019,4,"Sturm, Der",Der Sturm,,
50001020,3,"Tempesta, La",La Tempesta,1,
50001026,2,"Isola disabitata, L'",L'Isola disabitata,1,
50001027,3,"Vera costanza, La",La Vera costanza,1,
50001033,4,"Jagd, Die",Die Jagd,,
50001054,3,"Matrimonio per concorso, Il",Il Matrimonio per concorso,1,
50001055,4,"Donauweibchen I, Das",Das Donauweibchen I,,
50001064,3,"Gran Tamerlano, Il",Il Gran Tamerlano,1,
50001066,3,"Finta giardiniera, La",La Finta giardiniera,1,
50001067,4,"Gärtnerin aus Liebe, Die",Die Gärtnerin aus Liebe,,
50001071,4,"Verstellte Gärtnerin, Die",Die Verstellte Gärtnerin,1,
50001072,4,"Maurerfreude, Die",Die Maurerfreude,,
50001077,4,"Schauspieldirektor, Der",Der Schauspieldirektor,,
50001078,3,"Nozze di Figaro, Le",Le Nozze di Figaro,1,
50001081,3,"Dissoluto punito, Il",Il Dissoluto punito,1,
50001096,2,"Filosofi immaginari, I",I Filosofi immaginari,1,
50001097,2,"Amor contrastato, L'",L'Amor contrastato,1,
50001098,4,"Schöne Müllerin, Die",Die Schöne Müllerin,1,
50001099,3,"Molinara, La",La Molinara,1,
50001100,3,"Re Teodoro in Venezia, Il",Il Re Teodoro in Venezia,1,
50001101,3,"Barbiere di Siviglia, Il",Il Barbiere di Siviglia,1,
50001102,3,"Frascatana, La",La Frascatana,1,
50001103,3,"Morte d'Abel, La",La Morte d'Abel,1,
50001108,3,"Révolution du dix août, La",La Révolution du dix août,1,
50001110,3,"Gerusalemme liberata, La",La Gerusalemme liberata,,
50001112,3,"Presa di Gerusalemme, La",La Presa di Gerusalemme,1,
50001113,3,"Trionfo d'Arianna, Il",Il Trionfo d'Arianna,1,
50001117,4,"Feier der Auferstehung, Die",Die Feier der Auferstehung,,
50001118,4,"Leidende Jesu, Der",Der Leidende Jesu,1,
50001119,4,"Leiden Jesu, Das",Das Leiden Jesu,,
50001122,4,"Tod Abels, Der",Der Tod Abels,,
50001124,2,"Isola d'amore, L'",L'Isola d'amore,1,
50001125,3,"Colonie, La",La Colonie,1,
50001129,2,"Pretendenti delusi, I",I Pretendenti delusi,1,
