3011949	Serenate	50017969	Serenate
3011992	Pie Jesu Domine adjuva nos	50020963	Pie Jesu Domine adjuva nos
3012388	Pange lingua gloriosi	50011748	Pange lingua gloriosi
3012412	Quae est ista quae ascendit	50006331	Quae est ista quae ascendit
3016140	O vos omnes	50004867	O vos omnes
3016328	Quam bonus Deus	50004935	Quam bonus Deus
3017044	Exspectans exspectavi Dominum	50004788	Exspectans exspectavi Dominum
3017386	Cantate Domino canticum novum	50001675	Cantate Domino canticum novum
3017513	Beata es virgo Maria	50001556	Beata es virgo Maria
3017514	Posuisti Domine	50004274	Posuisti Domine
3017531	Veni sancte spiritus	50000012	Veni sancte spiritus
3017540	Omnes gentes plaudite manibus	50016211	Omnes gentes plaudite manibus
3017543	Magnificat	50000165	Magnificat
3017562	Miserere	50000911	Miserere
3018476	Filiae Jerusalem	50002086	Filiae Jerusalem
3018485	Cum sancto spiritu	50000378	Cum sancto spiritu
3018603	Deo gratias	50005033	Deo gratias
3018742	Alleluia confitemini Domino	50004267	Alleluia confitemini Domino
3018795	Jesu redemptor omnium	50000259	Jesu redemptor omnium
3018877	Caeli enarrant gloriam Dei	50001685	Caeli enarrant gloriam Dei
3018881	Mihi autem nimis	50004276	Mihi autem nimis
3018886	Asperges me	50000159	Asperges me
3019056	Gloria	50000118	Gloria
3019057	Qui tollis	50000379	Qui tollis
3019058	Kyrie	50000148	Kyrie
3019328	Amen dico vobis	50006261	Amen dico vobis
3019329	Vidi aquam	50000160	Vidi aquam
3019330	Puer natus est nobis	50011563	Puer natus est nobis
3019340	Resurrexi	50018873	Resurrexi
3019345	Cibavit eos	50002113	Cibavit eos
3019610	Adoro te devote	50000778	Adoro te devote
3019653	Audi filia	50005017	Audi filia
3019742	Jubilate Deo omnis terra	50004808	Jubilate Deo omnis terra
3019897	Sanctus	50000151	Sanctus
3019978	O Maria virgo pia	50000404	O Maria virgo pia
3020002	Domine exaudi orationem meam	50004354	Domine exaudi orationem meam
3020556	O dulcis Jesu	50006939	O dulcis Jesu
3020685	Confitemini Domino quoniam bonus	50006512	Confitemini Domino quoniam bonus
3020698	Credidi	50000535	Credidi
3020754	Exaudi Deus deprecationem meam	50009620	Exaudi Deus deprecationem meam
3020824	Ego sum panis vitae	50003659	Ego sum panis vitae
3020852	Florete flores	50018880	Florete flores
3020949	Laudamus te	50000248	Laudamus te
3021255	Paratum cor meum Deus	50000924	Paratum cor meum Deus
3021389	Non turbetur cor vestrum	50006300	Non turbetur cor vestrum
3021619	Tota pulchra es amica mea	50007637	Tota pulchra es amica mea
3021841	Assumpta est Maria	50003792	Assumpta est Maria
3021844	Felix es sacra	50003794	Felix es sacra
3021957	Gloria tibi Domine	50009650	Gloria tibi Domine
3021968	Non est inventus	50002190	Non est inventus
3021970	Euge serve bone	50006401	Euge serve bone
3021988	Salve regina	50000004	Salve regina
3021989	Salve mater	50006489	Salve mater
3022098	Sit nomen Domini benedictum	50000343	Sit nomen Domini benedictum
3022143	Laudemus virum gloriosum	50006308	Laudemus virum gloriosum
3022179	O Deus ego amo te	50000074	O Deus ego amo te
3022275	Heu mihi Domine	50000751	Heu mihi Domine
3022279	Veni sponsa Christi	50000090	Veni sponsa Christi
3022280	Victimae paschali laudes	50003637	Victimae paschali laudes
3022363	Requiem	50012718	Requiem
3022447	Deduc me Domine	50009769	Deduc me Domine
3022919	Laudate nomen Domini	50000380	Laudate nomen Domini
3022931	Sperent in te	50004995	Sperent in te
3022932	Tu es Deus	50005004	Tu es Deus
3022933	Scapulis suis	50001713	Scapulis suis
3023296	Beatus vir	50000157	Beatus vir
3023327	In diebus illis	50005367	In diebus illis
3023535	Domine ne in furore tuo	50004779	Domine ne in furore tuo
3023588	Specie tua	50000011	Specie tua
3023595	Confitemini	50016262	Confitemini
3024228	Lauda Jerusalem	50000539	Lauda Jerusalem
3025141	Veni creator spiritus	50000064	Veni creator spiritus
3025258	Alleluia tu es sacerdos	50013316	Alleluia tu es sacerdos
3025612	In exitu Israel	50000350	In exitu Israel
3025714	Jesu dulcis memoria	50000266	Jesu dulcis memoria
3025788	O quam pulchra	50000267	O quam pulchra
3025800	Domine Jesu Christe	50002084	Domine Jesu Christe
3025887	Benedicam Dominum	50001632	Benedicam Dominum
3025894	Justus ut palma	50000049	Justus ut palma
3025917	Ave regina	50000309	Ave regina
3026599	Huc ad plausus	50006493	Huc ad plausus
3026956	Venite adoremus	50001900	Venite adoremus
3027101	Miserere nostri Domine	50005381	Miserere nostri Domine
3027149	Virtus honor	50007754	Virtus honor
3027238	Laudem Domini	50002046	Laudem Domini
3027239	O Jesu mi dulcissime	50000406	O Jesu mi dulcissime
3027643	Laudate Dominum in sanctis ejus	50000265	Laudate Dominum in sanctis ejus
3027923	Regina caeli	50000019	Regina caeli
3028065	Lauda anima mea	50000038	Lauda anima mea
3028238	Virgo prudentissima	50001628	Virgo prudentissima
3028521	In dulci jubilo	50012537	In dulci jubilo
3028522	Iste confessor	50000007	Iste confessor
3028524	Crudelis Herodes	50011744	Crudelis Herodes
3028556	Exsurgens Maria	50002066	Exsurgens Maria
3028635	Exsultate jubilate	50002255	Exsultate jubilate
3029502	Custodi me Domine	50004962	Custodi me Domine
3029883	Domine Deus salutis meae	50001821	Domine Deus salutis meae
3030022	Alma redemptoris mater	50000070	Alma redemptoris mater
3030744	Gratias agimus	50001587	Gratias agimus
3030811	O Maria mater pia	50000182	O Maria mater pia
3031024	Resurrexit	50006319	Resurrexit
3031041	Eripe me Domine de inimicis meis	50004261	Eripe me Domine de inimicis meis
3031068	Confitebor tibi Domine in toto corde meo	50011798	Confitebor tibi Domine in toto corde meo
3031175	Te ergo quaesumus	50005451	Te ergo quaesumus
3031176	Dignare Domine	50004838	Dignare Domine
3031489	Veni electa mea	50000260	Veni electa mea
30904	Absterget Deus omnem lacrimam	50006442	Absterget Deus omnem lacrimam
30911	Introits	50004777	Introits
30917	Ad sonos ad plausus	50000262	Ad sonos ad plausus
31030	Ave gratia plena Dominus tecum	50015865	Ave gratia plena Dominus tecum
31062	Beati quorum remissae sunt iniquitates	50014865	Beati quorum remissae sunt iniquitates
31098	Benedictus Deus qui docet	50001549	Benedictus Deus qui docet
31101	Benedictus Mariae filius	50001557	Benedictus Mariae filius
31127	Chori angelici laetantes	50001109	Chori angelici laetantes
31128	Chori beati adeste parati	50000441	Chori beati adeste parati
31163	Caelum gaude	50000057	Caelum gaude
31200	Confractis mortis viribus	50000410	Confractis mortis viribus
31214	Cor arca legem continens	50011786	Cor arca legem continens
31219	Costa mentes plausus gentes	50000060	Costa mentes plausus gentes
31260	Custodes hominum psallimus angelos	50004656	Custodes hominum psallimus angelos
31318	Deus Deus meus ad te de luce vigilo	50001895	Deus Deus meus ad te de luce vigilo
31351	Dignare laudare	50000045	Dignare laudare
31417	Domine non sum dignus	50004939	Domine non sum dignus
31539	Egregie doctor Paule	50004626	Egregie doctor Paule
31542	Eia resonent omnia	50001686	Eia resonent omnia
31597	Exaltare Domine	50000381	Exaltare Domine
31608	Exaudiat te Dominus	50017637	Exaudiat te Dominus
31640	Exsurge Domine et intende judicium meum	50017653	Exsurge Domine et intende judicium meum
31691	Fundamenta ejus in montibus sanctis	50005384	Fundamenta ejus in montibus sanctis
31852	Innocens manibus	50004979	Innocens manibus
31857	Inter choros angelorum	50000428	Inter choros angelorum
31972	Larvae tremendae	50001581	Larvae tremendae
32068	Miris modis repente liber	50004652	Miris modis repente liber
32099	Mulier quae erat in civitate peccatrix	50006306	Mulier quae erat in civitate peccatrix
32212	Omnia ad majorem Dei gloriam	50000041	Omnia ad majorem Dei gloriam
32238	Pange lingua gloriosi lauream certaminis	50004633	Pange lingua gloriosi lauream certaminis
32240	Panis quem ego dabo caro mea est	50004829	Panis quem ego dabo caro mea est
32246	Pastores arva relinquite	50000059	Pastores arva relinquite
32301	Pro omnibus mortuus est Christus	50017629	Pro omnibus mortuus est Christus
32338	Quare crucem quare clavos	50000003	Quare crucem quare clavos
32382	Quia vidisti me Thoma credidisti	50005372	Quia vidisti me Thoma credidisti
32393	Quis ascendet in montem Domini	50007763	Quis ascendet in montem Domini
32455	Rogate quae ad pacem sunt Jerusalem	50018470	Rogate quae ad pacem sunt Jerusalem
32485	Salvete Christi vulnera	50019073	Salvete Christi vulnera
32506	Sanctum et terribile nomen ejus	50000498	Sanctum et terribile nomen ejus
32521	Sedibus caeli nitidis	50004650	Sedibus caeli nitidis
32625	Te decet laus	50001952	Te decet laus
32628	Te Dominum confitemur	50011757	Te Dominum confitemur
32630	Te gestientem gaudiis	50004927	Te gestientem gaudiis
32634	Te saeculorum principem	50019253	Te saeculorum principem
32645	Tetrae larvae	50000749	Tetrae larvae
32656	Tradent enim vos in conciliis	50006290	Tradent enim vos in conciliis
32696	Universi qui te exspectant	50001715	Universi qui te exspectant
32718	Vale cara anima	50002307	Vale cara anima
32740	Venite populi	50000046	Venite populi
32746	Verbum supernum prodiens	50000210	Verbum supernum prodiens
32751	Vespere autem sabbati	50006513	Vespere autem sabbati
32778	Alleluia jubilate Deo universa terra	50002269	Alleluia jubilate Deo universa terra
32792	Voce mea ad Dominum clamavi	50004683	Voce mea ad Dominum clamavi
32820	Domine Deus rex caelestis	50001644	Domine Deus rex caelestis
32826	Cantate Domino	50000499	Cantate Domino
32862	Sancta Maria ora pro nobis	50014894	Sancta Maria ora pro nobis
32901	Sancta Maria mater Dei	50000842	Sancta Maria mater Dei
32921	Jesu dulcedo cordium fons	50000437	Jesu dulcedo cordium fons
32944	Mane nobiscum Domine	50002106	Mane nobiscum Domine
32954	Benedictus es Domine doce me justificationes tuas	50001702	Benedictus es Domine doce me justificationes tuas
32972	Surrexit pastor bonus	50013323	Surrexit pastor bonus
33016	Ecce nos reliquimus omnia	50021215	Ecce nos reliquimus omnia
33033	O Domine Jesu Christe	50004301	O Domine Jesu Christe
33050	Anima Christi sanctifica me	50004320	Anima Christi sanctifica me
33053	Jam nimis terris	50004635	Jam nimis terris
33112	Domine exaudi vocem meam	50004816	Domine exaudi vocem meam
33119	Sit nomen Domini benedictum in saecula	50007294	Sit nomen Domini benedictum in saecula
33135	O Jesu dulcissime	50016017	O Jesu dulcissime
33161	Media vita in morte sumus	50004750	Media vita in morte sumus
33236	Gaude virgo mater Christi	50000061	Gaude virgo mater Christi
33273	Haec est dies quam fecit Dominus	50006321	Haec est dies quam fecit Dominus
33355	Da pacem Domine in diebus nostris	50004875	Da pacem Domine in diebus nostris
33417	Pastorales	50000832	Pastorales
33425	Alleluia	50001876	Alleluia
33457	O pretiosum et admirandum sacramentum	50006412	O pretiosum et admirandum sacramentum
33520	Christe eleison	50011559	Christe eleison
33539	De torrente in via bibet	50001780	De torrente in via bibet
33541	Et incarnatus est	50000707	Et incarnatus est
33549	Deus firmavit orbem terrae	50004269	Deus firmavit orbem terrae
33619	Laudate	50008660	Laudate
33639	O mi Jesu	50001797	O mi Jesu
33640	Filia Sion	50011718	Filia Sion
33674	Eia chori resonate	50000278	Eia chori resonate
33686	Lapidabant Stephanum	50005371	Lapidabant Stephanum
33706	Amen	50012305	Amen
33804	Ecce Deus salvator meus	50011495	Ecce Deus salvator meus
33869	Aurora caelum purpurat	50004677	Aurora caelum purpurat
33890	Cantemus Deo canticum novum	50018016	Cantemus Deo canticum novum
33892	Non mortui laudabunt te	50016084	Non mortui laudabunt te
33911	Veni redemptor gentium	50021397	Veni redemptor gentium
33938	Cum jucunditate	50006338	Cum jucunditate
33970	Anima mea desiderat ad te	50003600	Anima mea desiderat ad te
34016	Ego commovebo	50003605	Ego commovebo
34026	Quid ultra vivere	50003608	Quid ultra vivere
34037	Da pacem Domine	50017055	Da pacem Domine
34114	Dignare me laudare te virgo sacrata	50002376	Dignare me laudare te virgo sacrata
34118	Bernardus doctor inclytus	50021139	Bernardus doctor inclytus
34225	Dum transisset sabbatum	50015879	Dum transisset sabbatum
34243	Spiritus sanctus procedens	50021156	Spiritus sanctus procedens
34261	Laudate Dominum quoniam bonum	50006075	Laudate Dominum quoniam bonum
34266	Alma virgo mater Dei	50004806	Alma virgo mater Dei
34274	Cum invoce justitiae mea	50006249	Cum invoce justitiae mea
34281	Mulier ecce filius tuus	50006257	Mulier ecce filius tuus
34284	Panem de caelo praestitisti eis	50006259	Panem de caelo praestitisti eis
34292	Exsultet omnium turba fidelium	50000372	Exsultet omnium turba fidelium
34300	Aurea luce et decore roseo	50001625	Aurea luce et decore roseo
34311	Iste confessor Domini fracatus	50006263	Iste confessor Domini fracatus
34320	Salve Anna parens	50006309	Salve Anna parens
34321	Excita Domine in ecclesia	50006310	Excita Domine in ecclesia
34322	Exsultet	50006311	Exsultet
34323	Parvulus natus est	50006312	Parvulus natus est
34324	Ubi est qui natus est	50006313	Ubi est qui natus est
34326	Petre amas me	50006315	Petre amas me
34327	Saule quid me persequeris	50006316	Saule quid me persequeris
34329	Adeste caelites ad festa progerate	50006318	Adeste caelites ad festa progerate
34334	Pete a me quod vis	50006325	Pete a me quod vis
34335	Praecursorem sumni regis	50006326	Praecursorem sumni regis
34336	Sapientia aedifica est	50006327	Sapientia aedifica est
34338	Quasi stella matutina	50006328	Quasi stella matutina
34339	Quo progrederis sine filio pater	50006329	Quo progrederis sine filio pater
34340	Beatus Laurentius Christi martyr	50006330	Beatus Laurentius Christi martyr
34341	Maria virgo	50006332	Maria virgo
34342	Sancte Michael Dei archangelo	50006333	Sancte Michael Dei archangelo
34343	Laudemus Dominum nostrum	50006334	Laudemus Dominum nostrum
34344	In conspectu	50006335	In conspectu
34345	Transite ad me omnes	50006337	Transite ad me omnes
34348	Directus divinitas	50006341	Directus divinitas
34349	Jesu salvator	50006342	Jesu salvator
34350	Laudem dicite Deo nostro	50000789	Laudem dicite Deo nostro
34351	Mendaces ostendit Dominus	50006345	Mendaces ostendit Dominus
34355	Accipe Deus meus	50006353	Accipe Deus meus
34356	O Jesu ad te suspiro	50006354	O Jesu ad te suspiro
34357	O mira o magna	50006355	O mira o magna
34358	Ah sero te amavi	50006356	Ah sero te amavi
34359	Amor Jesu	50006357	Amor Jesu
34366	Cunite gentes	50006364	Cunite gentes
34369	Ecce Dominus	50006367	Ecce Dominus
34371	O panis o esca dulcedo	50006368	O panis o esca dulcedo
34372	O quam suavis est panis ille	50006369	O quam suavis est panis ille
34373	O carissimi	50006370	O carissimi
34375	O felix felicitas	50006371	O felix felicitas
34377	O perfecta caritas	50006373	O perfecta caritas
34380	Suspiro ad te	50000394	Suspiro ad te
34383	Quis mihi dabit	50006377	Quis mihi dabit
34384	Da bone Jesu	50006378	Da bone Jesu
34387	O quam amabilis	50004774	O quam amabilis
34392	Felix nox bona dies	50001668	Felix nox bona dies
34393	Ubi est	50006384	Ubi est
34394	O Jesu veracissime	50006385	O Jesu veracissime
34396	Jubilate gentes	50006387	Jubilate gentes
34399	Beata es	50006391	Beata es
34402	Audi anima	50006393	Audi anima
34403	Laudemus Deum nostrum	50001863	Laudemus Deum nostrum
34405	O beata caeli mentes	50006396	O beata caeli mentes
