590$b	*IV + VIII + 140f.		
590$b	109p.		
590$b	10p.		
590$b	115p.		
590$b	11p.		
590$b	125p.		
590$b	12p.		
590$b	137p.		
590$b	13p.		
590$b	140p.		
590$b	14p.		
590$b	152p.		
590$b	154p.		
590$b	15p.		
590$b	163p.		
590$b	16p.		
590$b	174p.		
590$b	17p.		
590$b	183 + [50] p.		
590$b	183 + [67] p.		
590$b	183 + [74] p.		
590$b	18p.		
590$b	19p.		
590$b	1f.		
590$b	1p.		
590$b	2, 2, 2; 2; 6f. 		
590$b	21p.		
590$b	22p.		
590$b	23p.		
590$b	24f.		
590$b	24p.		
590$b	25p.		
590$b	26p.		
590$b	27p.		
590$b	28p.		
590$b	29p.		
590$b	2f.		
590$b	2f. 		
590$b	2p.		
590$b	30p.		
590$b	312 + [xx]p.		
590$b	32 + 6 p.		
590$b	32p.		
590$b	33p.		
590$b	36f.		
590$b	36p.		
590$b	37p.		
590$b	3f.		
590$b	3p.		
590$b	4; 4p.		
590$b	41p.		
590$b	42p.		
590$b	44p.		
590$b	45p.		
590$b	46 + 1p.		
590$b	472p.		
590$b	47p.		
590$b	48p.		
590$b	494p. ([4] + 202 + 216 + lxvi + [10])		
590$b	4f.		
590$b	4p.		
590$b	50p.		
590$b	53p.		
590$b	57, 53p.		
590$b	5f.		
590$b	5p.		
590$b	61p.		
590$b	621p.[528 + XCIIIp.]		
590$b	64p.		
590$b	65f. [6 + 124p.]		
590$b	66p. 		
590$b	68p.		
590$b	6p.		
590$b	70p.		
590$b	71p.		
590$b	73p.		
590$b	76p.		
590$b	7f.		
590$b	7p.		
590$b	80p.		
590$b	83p.		
590$b	86p.		
590$b	87p.		
590$b	8p.		
590$b	93p.		
590$b	95p.		
590$b	95p. ([4] + 91p.)		
590$b	97p.		
590$b	9p.		
590$b	f.1r		
590$b	f.1v; 1r, 1r, 1r; 1r; 1r-1v		
590$b	f.4r-4v, 4r-4v, 4r, 4r; 4r, 3v, 3r-3v, 3v, 3v; 3r, 3r-3v, 2v, 2v, 1v, 1v; 1v		
590$b	p.[36]		
590$b	p.1		
590$b	p.1-2		
590$b	p.1-3		
590$b	p.1-4		
590$b	p.1, 13		
590$b	p.10		
590$b	p.10-11		
590$b	p.101		
590$b	p.102		
590$b	p.103-104		
590$b	p.105-107		
590$b	p.107		
590$b	p.108-109		
590$b	p.109-113		
590$b	p.11		
590$b	p.110		
590$b	p.110-111		
590$b	p.111		
590$b	p.111-112		
590$b	p.112		
590$b	p.112-113, 116		
590$b	p.113		
590$b	p.114		
590$b	p.114-115		
590$b	p.114-129		
590$b	p.115		
590$b	p.116		
590$b	p.117, 140		
590$b	p.118		
590$b	p.119		
590$b	p.12		
590$b	p.12-13		
590$b	p.12-13, 14		
590$b	p.120		
590$b	p.121		
590$b	p.121-122		
590$b	p.122-123		
590$b	p.123		
590$b	p.124		
590$b	p.125		
590$b	p.126		
590$b	p.127		
590$b	p.127-135		
590$b	p.128-129		
590$b	p.129		
590$b	p.13		
590$b	p.13-14		
590$b	p.13, 18		
590$b	p.130		
590$b	p.130-135		
590$b	p.131		
590$b	p.132		
590$b	p.132-133, 139		
590$b	p.133		
590$b	p.134		
590$b	p.134-135		
590$b	p.135-137		
590$b	p.136		
590$b	p.137		
590$b	p.138		
590$b	p.138-139		
590$b	p.138-142		
590$b	p.14-15		
590$b	p.14-17		
590$b	p.140		
590$b	p.141		
590$b	p.142		
590$b	p.143		
590$b	p.143-147		
590$b	p.144-148		
590$b	p.148-149 [?]		
590$b	p.148-150		
590$b	p.15		
590$b	p.150		
590$b	p.150-154		
590$b	p.151		
590$b	p.151-152		
590$b	p.152		
590$b	p.152-153		
590$b	p.153		
590$b	p.153-154		
590$b	p.154		
590$b	p.155		
590$b	p.155-156		
590$b	p.156		
590$b	p.157		
590$b	p.157-158		
590$b	p.158		
590$b	p.158-159		
590$b	p.159-160 + 160a		
590$b	p.16		
590$b	p.16-17		
590$b	p.17		
590$b	p.17-18		
590$b	p.18		
590$b	p.18-19		
590$b	p.19		
590$b	p.2		
590$b	p.2-3		
590$b	p.2, 5		
590$b	p.20		
590$b	p.21		
590$b	p.22		
590$b	p.22-23		
590$b	p.22-23, 25		
590$b	p.23		
590$b	p.24		
590$b	p.24-25		
590$b	p.24-26		
590$b	p.25-48		
590$b	p.26		
590$b	p.26-27		
590$b	p.26-27, 29-30		
590$b	p.27		
590$b	p.27-28		
590$b	p.28		
590$b	p.28-29		
590$b	p.29		
590$b	p.29-30		
590$b	p.3		
590$b	p.3-6		
590$b	p.30		
590$b	p.31		
590$b	p.31, 40-41, 64, 66		
590$b	p.32		
590$b	p.32-33		
590$b	p.33		
590$b	p.34		
590$b	p.34-35		
590$b	p.34-36, 41-44, 53-55 		
590$b	p.35		
590$b	p.35-36		
590$b	p.36		
590$b	p.36-39		
590$b	p.37		
590$b	p.38		
590$b	p.39		
590$b	p.39-40		
590$b	p.39, 47		
590$b	p.4		
590$b	p.4-5		
590$b	p.4-6		
590$b	p.40		
590$b	p.40-41		
590$b	p.40, 64-65		
590$b	p.41		
590$b	p.41, 51-53, 55-83, 85		
590$b	p.42		
590$b	p.42-43		
590$b	p.43		
590$b	p.43, 52		
590$b	p.44		
590$b	p.44-45		
590$b	p.45		
590$b	p.45, 60-61, 63		
590$b	p.46		
590$b	p.46-47		
590$b	p.47		
590$b	p.47-48		
590$b	p.47, 48-49		
590$b	p.48		
590$b	p.48-49		
590$b	p.49		
590$b	p.49-50		
590$b	p.5		
590$b	p.5-6		
590$b	p.50		
590$b	p.50-51		
590$b	p.50-52		
590$b	p.50, 88		
590$b	p.51		
590$b	p.51-52		
590$b	p.52		
590$b	p.52-53		
590$b	p.53		
590$b	p.53-54, 77		
590$b	p.54		
590$b	p.54-55		
590$b	p.55		
590$b	p.55-56		
590$b	p.55-57		
590$b	p.55, 89		
590$b	p.56		
590$b	p.56-57		
590$b	p.56, 58-60		
590$b	p.57		
590$b	p.57-60, 62-65, 95-96 		
590$b	p.58		
590$b	p.58-59		
590$b	p.59		
590$b	p.59-60		
590$b	p.6		
590$b	p.6-10		
590$b	p.6-7		
590$b	p.60		
590$b	p.60-61		
590$b	p.61		
590$b	p.61-62		
590$b	p.61, 113		
590$b	p.62		
590$b	p.62-63		
590$b	p.63		
590$b	p.64		
590$b	p.64-65, 67		
590$b	p.65-66		
590$b	p.66		
590$b	p.66-67		
590$b	p.67		
590$b	p.67-71		
590$b	p.68		
590$b	p.69-70, 113		
590$b	p.69, 86-87		
590$b	p.7		
590$b	p.7-8		
590$b	p.70		
590$b	p.70-72		
590$b	p.72		
590$b	p.72-73		
590$b	p.73		
590$b	p.73-74		
590$b	p.74		
590$b	p.74-75		
590$b	p.75		
590$b	p.76		
590$b	p.76-77		
590$b	p.76, 79		
590$b	p.77		
590$b	p.77-78		
590$b	p.78		
590$b	p.78, 111		
590$b	p.79		
590$b	p.8		
590$b	p.8-9		
590$b	p.80		
590$b	p.80-81		
590$b	p.81		
590$b	p.82		
590$b	p.83		
590$b	p.83-86		
590$b	p.84		
590$b	p.84-85		
590$b	p.86		
590$b	p.87		
590$b	p.87-88		
590$b	p.88		
590$b	p.88-89		
590$b	p.88-89, 139		
590$b	p.89		
590$b	p.9		
590$b	p.9-10		
590$b	p.9-12		
590$b	p.90		
590$b	p.90-91		
590$b	p.91		
590$b	p.92		
590$b	p.93		
590$b	p.94		
590$b	p.94-97		
590$b	p.96-98		
590$b	p.97		
590$b	p.98		
590$b	p.98-108		
590$b	p.99-100		
man.	 parts:		
man.	0 part	 6f.	
man.	0 part		
man.	1 score (2x); 1, 1p.		
man.	1 score (2x); 2, 2p.		
man.	1 score (B, vla, b); p.1-4		
man.	1 score (incpl) p.11		
man.	1 score 1f.		
man.	1 score 20f.		
man.	1 score f.6v-7r		
man.	1 score f.8v-9r		
man.	1 score; 1f.		
man.	14 scores; 112 + [48], 112 + [48], 112 + [48], 112 + [48], 112 + [48], 112 + [48], 112 + [48], 112 + [48], 112 + [48], 112 + [48], 112 + [48], 112 + [48], 112 + [48], 112 + [48]p.		
man.	1O parts	 f.7r-9r, 6v-8r, 6r-8r, 6r-8v; 11r-14v, 10r-13v, 8v-11r, 10v-13r; 5v-7r, 5v-7r	
man.	2 parts; 1, 1f.		
man.	2 parts; 2, 2p.		
man.	2 scores; 2, 2p.		
man.	23 instrumental parts		
man.	3 parts; 4, 4, 4p.		
man.	4 parts. p.18-22, 11-13, 17-20, 16-18		
man.	4parts	 2; 2, 2, 1f. 	
man.	7 parts 1, 1; 2, 2, 1, 2; 4f. 		
man.	7 parts; f.2r-2v; 2r-2v, 1v, 1v, 1v; 1v; 1r		
man.	8 parts; f.1r-2r; 1v-2r, 1r-1v, 1r, 1r; 1r, 1r; 1r		
man.	Different		
man.	dverse	 42f.	
man.	Fragment	 1p.	
man.	other	 14 p.	
man.	other	 p. 10	
man.	Pars Aestivalis	 ~ 900p.	
man.	part 51f.		
man.	Rollen/Stimmen (Vokal):		
man.	text document	 157p.	
man.	text documents		
man.	X parts		
man.	x parts		
man.	X scores		
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
