"id","ext_id","full_name"
5547,51005547,"Lichtenauer, Paul Ignaz"
5579,51005579,"Mazzaferrata, Giovanni Battista"
5586,51005586,"Miniscalchi, Guglielmo"
5589,51005589,"Monte, Philippe de"
5591,51005591,"Morley, Thomas"
5598,51005598,"Münster, Joseph Joachim"
5599,51005599,"Naldi, Romolo"
5641,51005641,"Rossi, Salomone"
5692,51005692,"Willaert, Adrian"
5700,51005700,"Zucchini, Gregorio"
5809,51005809,"Haym, Nicola Francesco"
5860,51005860,"Manchicourt, Pierre de"
5964,51005964,"Steingaden, Konstantin"
6002,51006002,"Albergati Capacelli, Pirro"
6014,51006014,"Aschenbrenner, Christian Heinrich"
6031,51006031,"Bernhard, Christoph"
6066,51006066,"Knüpfer, Sebastian"
6094,51006094,"Schmidlin, Johannes"
6127,51006127,"Brade, William"
6171,51006171,"Gösswein, Dominicus"
6229,51006229,"Michl, Ferdinand"
6270,51006270,"Ursillo, Fabio"
6440,51006440,"Bachofen, Johann Caspar"
6442,51006442,"Beria, Giovanni Battista"
6453,51006453,"Casati, Gasparo"
6497,51006497,"Du Mont, Henry"
6546,51006546,"Riccio, Teodoro"
6561,51006561,"Tarditi, Orazio"
6565,51006565,"Vitali, Giovanni Battista"
6568,51006568,"Zollikofer von Altenklingen, Kaspar"
6582,51006582,"Finatti, Giovanni Pietro"
6583,51006583,"Finetti, Giacomo"
6606,51006606,"Gletle, Johann Melchior"
6657,51006657,"Grossi, Giovanni Antonio"
6782,51006782,"Eve, Alphonse d'"
6793,51006793,"Fontei, Nicolò"
6854,51006854,"Marini, Biagio"
6893,51006893,"Reichwein, Johann Georg"
6901,51006901,"Rovetta, Giovanni"
6902,51006902,"Sances, Giovanni Felice"
7065,51007065,"Scheidt, Samuel"
7071,51007071,"Walliser, Christoph Thomas"
7107,51007107,"Crüger, Johann"
7230,51007230,"Staden, Sigmund Theophil"
7352,51007352,"Hagerer, Franziscus Salesius Ignatius"
7371,51007371,"Klingenstein, Bernhard"
7393,51007393,"Musculus, Balthasar"
7412,51007412,"Schollenberger, Caspar"
7424,51007424,"Vecchi, Orazio Tiberio"
7609,51007609,"Fux, Vinzenz"
7659,51007659,"Pollarolo, Antonio"
7663,51007663,"Ravenscroft, John"
8943,51008943,"Hesdin, Nicolle des Celliers de"
9571,51009571,"Victorinus, Georg"
9987,51009987,"Casati, Girolamo"
9990,51009990,"Bianchi, Giovanni"
9995,51009995,"Balbi, Lorenzo"
10093,51010093,"Pisticci, Atanasio da [A/I]"
10146,51010146,"Freddi, Amadio"
10167,51010167,"Grieninger, Augustin"
10178,51010178,"Gumpelzhaimer, Adam"
10180,51010180,"Brunner, Adam Heinrich [A/I]"
10187,51010187,"Hakenberger, Andreas"
10198,51010198,"Holzner, Anton"
10244,51010244,"Bartolotti, Angelo Michele"
10282,51010282,"Michna, Adam Vàclav"
10283,51010283,"Milleville, Alessandro"
10302,51010302,"Olivero, Agostino [A/I]"
10324,51010324,"Pevernage, Andreas"
10332,51010332,"Poggioli, Antonio [A/I]"
10339,51010339,"Profe, Ambrosius"
10340,51010340,"Prosperi, Angelo [A/I]"
10353,51010353,"Rauch, Andreas [A/I]"
10357,51010357,"Reiner, Ambrosius"
10377,51010377,"Savetta, Antonio [A/I]"
10431,51010431,"Utendal, Alexander"
10439,51010439,"Vermeeren, Anthonis"
10494,51010494,"Borlasca, Bernardino"
10549,51010549,"Hipp, Berthold"
10568,51010568,"Meda, Bianca Maria"
10591,51010591,"Rauchenstein, Bernardus [A/I]"
10599,51010599,"Rüeg, Benedictus [A/I]"
10605,51010605,"Schmid, Bernhard"
10610,51010610,"Selma y Salaverde, Bartolomé de"
10619,51010619,"Strozzi, Barbara"
10625,51010625,"Tonini, Bernardo"
10626,51010626,"Trabattone, Bartolomeo"
10630,51010630,"Vialardo, Baldassarre [A/I]"
10632,51010632,"Villicus, Balthasar"
10758,51010758,"Cortellini, Camillo"
10759,51010759,"Cozzi, Carlo"
10797,51010797,"Endres, Caspar [A/I]"
10852,51010852,"San Romano, Carlo Giuseppe [A/I]"
10873,51010873,"Grueber, Christoph [A/I]"
10923,51010923,"Lang, Caspar [A/I]"
10956,51010956,"Movius, Caspar [A/I]"
10966,51010966,"Oeler, Conrad"
10971,51010971,"Oudot, Claude [A/I]"
11003,51011003,"Rosier, Carl Natalis"
11005,51011005,"Ruggieri, Costante"
11007,51011007,"Sätzl, Christoph"
11026,51011026,"Steinmann, Christoph"
11121,51011121,"Brunetti, Domenico"
11144,51011144,"Agnelli, Lorenzo"
11150,51011150,"Lefebvre, Denis"
11181,51011181,"Petersen, David"
11282,51011282,"Desforêts [A/I]"
11321,51011321,"Bignetti, Emilio"
11343,51011343,"Dürig, Electus [A/I]"
11418,51011418,"Mihl, Erasmus von der"
11455,51011455,"Milleville, Francesco"
11457,51011457,"Bagatti, Francesco"
11510,51011510,"La Marche, Franciscus de [A/I]"
11519,51011519,"Di Maggio, Francesco"
