30002155,3549
96329,351
30002553,468
76967,298
30002852,796
70106,41001563
38000,452
30000745,30023905
40207579,50005372
124889,2539
30000868,3
30002152,1197
10868,50006436
90691,30026071
35814,489
24761,6
30002729,265
53937,745
30002868,443
30004916,41001009
30010692,41001753
30003220,41001757
59061,418
20057,30028329
39207,410
39207,2845
30002683,820
506,1671
30002301,3738
22400,30023408
30013111,3592
30090681,30027522
76967,30023431
2561,30027886
2347,200067
30000184,41001537
2389,30026629
30006280,41002230
162506,233
13615,2897
88790,1953
350674,3396
30000477,50005911
30001910,813
354200,663
30002105,627
30002393,8
93653,693
30090422,41001661
114557,10
114557,2873
20000429,496
30000648,445
26196,3069
41444,30025318
30001549,473
119801,51
2539,11
30001186,739
63766,1595
30000264,802
30002752,12
487103,740
30000036,1110
30000757,491
30087218,30023515
20000428,2888
30005926,239
30005927,240
51160,30000031
30004114,3518
30106340,30028231
30003391,30027337
30002471,2915
25967,15
30002853,30026792
30000929,286
332224,2962
111603,30000089
139402,30017171
30002916,359
30005476,327
30004142,291
30001497,73
30002536,3675
123588,703
30000169,229
30012191,2005
30002282,30028656
30002897,20
30007549,2725
30005405,30026346
30012763,30029410
2539,30025701
30004390,2861
19006,337
30002301,1366
30002453,2295
30019790,2535
329003,30000099
30001158,30027692
20000445,30025817
20000447,24
43584,1019
111831,30020101
30003364,825
30005506,243
356579,324
30000562,731
33156,2164
84066,30025667
134203,2150
30113495,30029050
30002905,218
37178,30029263
77850,30026105
33641,1119
30001245,217
30000391,29
54780,30026740
30003879,2117
144451,31
30001311,30027583
20503,292
23415,33
149499,352
30003387,27
30001351,200055
20000287,200055
30001350,200055
125775,519
30001351,326
20000287,326
30001350,326
162506,30025627
30002781,30027556
30004780,30028342
83288,30000114
30073502,30027525
1904,1661
51928,35
30002848,34
30006860,200061
20000415,264
1040,480
361258,36
65467,37
30000653,666
30004689,30025574
30004462,30025574
2561,219
72637,2896
98214,644
30002639,425
249507,30000237
30005653,3097
94981,456
30001241,38
54931,245
30003237,30025570
30001209,30026871
55803,40
30000353,30017054
89392,3546
118329,46
51928,349
20000431,175
241903,30023410
30000328,702
13803,648
13803,41001680
137994,747
20000269,30027882
30002729,3004
176058,3551
30000875,30023876
36552,225
36552,41000352
145401,30026622
30002544,3591
60663,299
107032,30027449
50377,951
117485,48
30002798,49
30001600,30029222
30006178,41002120
30092574,41002120
30099004,30026762
30015363,30027633
51928,1685
9700,213
11035,53
119172,30026093
30002849,54
132137,30026883
30004200,442
333493,495
30015885,30027647
222,57
275604,3466
51160,2487
20000445,58
20445,30027339
30001170,738
30003344,3292
30004095,3292
30097375,3292
30003387,59
30006696,30023803
20000322,484
331271,30025777
14522,62
30014633,3165
30003284,310
115324,50
53829,45
14522,3478
50041272,50005856
103020,915
11919,274
30002346,236
30003139,30027567
20000426,730
103799,269
115317,30025760
178246,273
30006609,273
11923,273
11920,273
30000290,273
11919,273
30008112,273
30000289,273
20000804,273
30003402,1986
122656,531
30015958,30026281
14426,30025846
506,3075
11035,30028397
132446,237
90691,30023022
30000734,246
89002,41000231
30002577,30026949
43548,419
30114595,30029260
39914,2112
131206,3401
55810,343
71536,1037
96260,2145
1603,3283
35437,30026543
94295,2878
30103302,50003853
30017734,30028632
30003410,30020273
30012235,3900
51928,75
10868,77
30002033,355
30003139,226
10868,791
30002744,760
30003360,805
88790,30025296
3287,30000147
30000929,30020009
30001632,525
30000491,780
20000432,30027110
30005347,30025805
90691,467
30002329,817
133066,822
30004436,3471
55819,2761
113333,30027340
30024087,30027309
50253,631
43730,789
34778,1955
30004433,1955
30000780,30023534
30004256,30023886
30003093,30023886
30003149,30022675
30019142,3268
1578,3743
30002483,81
30013769,30028573
2671,532
30004631,30027899
1494,200053
30003182,304
30001792,221
89002,400
30022653,30027524
